Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7hDVYcQq6MxkdJGweuCtl9,"ocean eyes","dont smile at me","Billie Eilish",2017-12-22,200379,82,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-05T10:03:01Z,"","Darkroom",0.511,0.363,4,-7.65,0,0.041,0.816,0.0317,0.084,0.169,144.892,4
spotify:track:786f01L1AbBOGr0WmAs54w,"New Flesh","Wild Heart","Current Joys",2013-01-02,168764,71,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-09T18:35:36Z,"lo-fi-инди","Current Joys",0.62,0.858,9,-8.772,1,0.0551,0.851,0.431,0.0877,0.697,165.825,4
spotify:track:7tBfGvT74zlqZ8RHQkBSz0,"FALL FROM THE SKY PT. 2","FALL FROM THE SKY PT. 2","RomancePlanet;STAKILLAZ",2025-04-18,97072,67,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-09T18:36:18Z,"гиперпоп,габбер","broke",0.472,0.987,9,-0.854,0,0.087,0.124,0.000119,0.412,0.133,148.354,4
spotify:track:5vNRhkKd0yEAg8suGBpjeY,"APT.","APT.","ROSÉ;Bruno Mars",2024-10-18,169917,89,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-12T16:41:42Z,"k-pop","Atlantic Records",0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
spotify:track:47Slg6LuqLaX0VodpSCvPt,"Just the Way You Are","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,220734,80,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-12T16:42:09Z,"","Elektra (NEK)",0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,4
spotify:track:02VBYrHfVwfEWXk5DXyf0T,"Leave The Door Open","An Evening With Silk Sonic","Bruno Mars;Anderson .Paak;Silk Sonic",2021-11-11,242096,80,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-12T16:43:28Z,"","Aftermath Entertainment/Atlantic",0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088,4
spotify:track:2RdEC8Ff83WkX7kDVCHseE,"party 4 u","how i'm feeling now","Charli xcx",2020-05-15,296653,87,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-12T16:44:24Z,"гиперпоп,арт-поп","Atlantic Records UK",0.579,0.522,1,-8.393,1,0.0993,0.761,0.0000141,0.655,0.245,79.453,4
spotify:track:3Y1EvIgEVw51XtgNEgpz5c,"Von dutch","BRAT","Charli xcx",2024-06-07,164284,80,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-12T16:45:52Z,"гиперпоп,арт-поп","Atlantic Records",0.706,0.698,10,-5.679,1,0.0537,0.00298,0.00375,0.116,0.648,130.013,4
spotify:track:19RybK6XDbAVpcdxSbZL1o,"Apple","BRAT","Charli xcx",2024-06-07,151739,78,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-12T16:48:19Z,"гиперпоп,арт-поп","Atlantic Records",0.804,0.957,0,-5.452,1,0.034,0.125,0.0174,0.114,0.962,126.035,4
spotify:track:3VZQshi4COChhXaz7cLP02,"I Love It (feat. Charli XCX)","I Love It (feat. Charli XCX)","Icona Pop;Charli xcx",2012-06-19,155337,67,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-12T16:48:38Z,"гиперпоп,арт-поп","Big Beat Records/Atlantic",0.714,0.905,8,-2.663,1,0.0289,0.00855,0.0000255,0.146,0.838,125.927,4
spotify:track:5pNFibJLq7dvoDVIIcQBkn,"Hot In It (feat. Charli XCX)","DRIVE","Tiësto;Charli xcx",2023-04-21,129817,66,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-12T16:49:22Z,"edm,транс,биг-рум,хаус,танцы,гиперпоп,арт-поп","Atlantic Records",0.748,0.841,7,-5.08,1,0.177,0.00445,0.00000133,0.0413,0.717,123.045,4
spotify:track:4w2GLmK2wnioVnb5CPQeex,"360","BRAT","Charli xcx",2024-06-07,133805,77,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-12T16:50:48Z,"гиперпоп,арт-поп","Atlantic Records",0.857,0.62,0,-8.13,1,0.0472,0.646,0.244,0.0934,0.796,120.042,4
spotify:track:5VxmI3IdgAxWVvUnJoLuY2,"Speed Drive (From Barbie The Album)","Speed Drive (From Barbie The Album)","Charli xcx",2023-06-29,117809,68,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-12T16:51:05Z,"гиперпоп,арт-поп","Atlantic Records",0.652,0.879,0,-6.405,1,0.0784,0.00284,0.0896,0.0918,0.789,173.925,4
spotify:track:5hyq3LBlCfjRQAFkdQwe8o,"Vroom Vroom","Vroom Vroom EP","Charli xcx",2016-02-26,193270,69,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-12T16:51:50Z,"гиперпоп,арт-поп","Vroom Vroom Recordings",0.836,0.684,11,-5.818,1,0.241,0.122,0,0.0854,0.514,151.007,4
spotify:track:3M0lSi5WW79CXQamgSBIjx,"Swim","Chase Atlantic","Chase Atlantic",2017-10-04,228786,84,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-12T16:58:18Z,"","Warner Records",0.666,0.542,8,-6.429,1,0.0392,0.27,0,0.0765,0.0771,120.134,4
spotify:track:7982sGZuvo5OXsY6REzgIn,"Boom Clap","SUCKER","Charli xcx",2014-12-15,169866,68,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-12T17:56:24Z,"гиперпоп,арт-поп","Asylum",0.659,0.911,4,-2.28,1,0.0786,0.154,0.000304,0.191,0.576,91.999,4
spotify:track:4wTvw1dBiPXNiHTh0zzpcI,"B2b","BRAT","Charli xcx",2024-06-07,178579,76,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-12T17:56:52Z,"гиперпоп,арт-поп","Atlantic Records",0.769,0.771,1,-3.12,1,0.0436,0.000783,0.671,0.0537,0.37,116.027,3
spotify:track:3nQ24dxqvxZEVwlHTeuLz0,"Sympathy is a knife featuring ariana grande","Brat and it’s completely different but also still brat","Charli xcx;Ariana Grande",2024-10-11,154126,63,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-12T17:58:07Z,"гиперпоп,арт-поп,поп","Atlantic Records",0.711,0.603,3,-7.815,1,0.0405,0.0962,0,0.112,0.339,135.151,4
spotify:track:7Dexi5Z2IowCkHrnzlWysc,"claws","how i'm feeling now","Charli xcx",2020-05-15,149390,63,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-12T17:58:30Z,"гиперпоп,арт-поп","Atlantic Records UK",0.707,0.771,10,-4.246,1,0.038,0.036,0.0000687,0.547,0.629,135.049,4
spotify:track:5h68SoVFGleijCtjEja3xG,"365","BRAT","Charli xcx",2024-06-07,203618,76,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-12T17:59:09Z,"гиперпоп,арт-поп","Atlantic Records",0.761,0.856,1,-5.121,1,0.109,0.154,0.503,0.16,0.729,127.111,4
